step,user,action,click,ctr,prob_taken,prob_optimal,regret,policy
1,130,5,1.0,1.0,0.6651698252417034,0.7459355827183018,0.08076575747659842,epsilon_greedy_0.1
2,98,5,1.0,1.0,0.4824235671915328,0.7821900503642369,0.3805322406493026,epsilon_greedy_0.1
3,121,5,0.0,0.6666666666666666,0.3685878913617728,0.8022757603915561,0.814220109679086,epsilon_greedy_0.1
4,70,5,1.0,0.75,0.33380895582909087,0.7986999018863208,1.279111055736316,epsilon_greedy_0.1
5,2,5,1.0,0.8,0.30404880223575415,0.7415820351383678,1.7166442886389297,epsilon_greedy_0.1
6,110,5,1.0,0.8333333333333334,0.7064306455725357,0.80041570530847,1.8106293483748641,epsilon_greedy_0.1
7,15,5,0.0,0.7142857142857143,0.4559003576859403,0.836986782257701,2.191715772946625,epsilon_greedy_0.1
8,116,5,0.0,0.625,0.46380251681514945,0.8649423126415936,2.5928555687730688,epsilon_greedy_0.1
9,83,5,1.0,0.6666666666666666,0.773101896460107,0.9029846747030287,2.7227383470159907,epsilon_greedy_0.1
10,129,16,1.0,0.7,0.6175521942020689,0.6734745647277974,2.7786607175417193,epsilon_greedy_0.1
11,7,16,1.0,0.7272727272727273,0.7212056357580539,0.8584762900111994,2.9159313717948647,epsilon_greedy_0.1
12,190,16,0.0,0.6666666666666666,0.20917903971816448,0.8848379342639252,3.591590266340625,epsilon_greedy_0.1
13,154,16,1.0,0.6923076923076923,0.5313882183024479,0.7636275817501645,3.823829629788342,epsilon_greedy_0.1
14,40,16,0.0,0.6428571428571429,0.3859066261523241,0.9069405451805441,4.344863548816562,epsilon_greedy_0.1
15,33,5,1.0,0.6666666666666666,0.5235629835411973,0.6837214059202258,4.505021971195591,epsilon_greedy_0.1
16,22,5,0.0,0.625,0.3621421787882577,0.8236853504055218,4.966565142812855,epsilon_greedy_0.1
17,39,5,0.0,0.5882352941176471,0.13453043724180713,0.862928249888576,5.694962955459624,epsilon_greedy_0.1
18,182,16,1.0,0.6111111111111112,0.7307075895667997,0.8445175837659074,5.8087729496587315,epsilon_greedy_0.1
19,199,11,1.0,0.631578947368421,0.15176196331835512,0.7506716594466101,6.407682645786986,epsilon_greedy_0.1
20,92,11,1.0,0.65,0.7804960712589981,0.9650012855714867,6.592187860099474,epsilon_greedy_0.1
21,101,11,1.0,0.6666666666666666,0.6829023080288203,0.691548094149614,6.600833646220268,epsilon_greedy_0.1
22,50,11,0.0,0.6363636363636364,0.47300099114816363,0.694644132263309,6.822476787335414,epsilon_greedy_0.1
23,5,11,0.0,0.6086956521739131,0.4031082021749774,0.6731928535390337,7.09256143869947,epsilon_greedy_0.1
24,76,16,0.0,0.5833333333333334,0.3609398933900523,0.8848823955144177,7.6165039408238355,epsilon_greedy_0.1
25,39,11,0.0,0.56,0.3752797042192112,0.8687965964257467,8.11002083303037,epsilon_greedy_0.1
26,27,13,1.0,0.5769230769230769,0.7913507547881208,0.8124466904014146,8.131116768643665,epsilon_greedy_0.1
27,64,13,0.0,0.5555555555555556,0.2381146814634925,0.8395780621900808,8.732580149370254,epsilon_greedy_0.1
28,122,5,1.0,0.5714285714285714,0.6064585169848391,0.8336633259967892,8.959784958382203,epsilon_greedy_0.1
29,28,5,0.0,0.5517241379310345,0.2503910637336942,0.8478031343131632,9.557197028961673,epsilon_greedy_0.1
30,3,5,0.0,0.5333333333333333,0.3832843634568973,0.7083020240591681,9.882214689563943,epsilon_greedy_0.1
31,71,16,0.0,0.5161290322580645,0.5350301684930214,0.8849708533771856,10.232155374448107,epsilon_greedy_0.1
32,96,5,0.0,0.5,0.47273964958114767,0.8639873216225348,10.623403046489495,epsilon_greedy_0.1
33,99,5,0.0,0.48484848484848486,0.6485527534511164,0.7954604764627041,10.770310769501082,epsilon_greedy_0.1
34,114,11,0.0,0.47058823529411764,0.05551823557026844,0.8585538941436447,11.573346428074458,epsilon_greedy_0.1
35,136,13,0.0,0.45714285714285713,0.4173086669467481,0.7580413912154738,11.914079152343184,epsilon_greedy_0.1
36,136,16,1.0,0.4722222222222222,0.6459198561117692,0.7528616636748577,12.021020959906274,epsilon_greedy_0.1
37,132,16,0.0,0.4594594594594595,0.34927877350533804,0.7471268373154009,12.418869023716336,epsilon_greedy_0.1
38,160,16,1.0,0.47368421052631576,0.5604511161080667,0.9439763377216247,12.802394245329895,epsilon_greedy_0.1
39,67,6,0.0,0.46153846153846156,0.41505242110853685,0.9284496105031426,13.3157914347245,epsilon_greedy_0.1
40,37,16,1.0,0.475,0.6393836023011509,0.8045960273640932,13.481003859787442,epsilon_greedy_0.1
41,121,16,1.0,0.4878048780487805,0.32932356839418386,0.7874280287820978,13.939108320175356,epsilon_greedy_0.1
42,142,16,1.0,0.5,0.8768999374561962,0.8674546606582513,13.92966304337741,epsilon_greedy_0.1
43,57,16,1.0,0.5116279069767442,0.5224007781030472,0.9335831200916668,14.340845385366029,epsilon_greedy_0.1
44,102,16,0.0,0.5,0.1359893775314722,0.8713107805339854,15.076166788368543,epsilon_greedy_0.1
45,62,16,0.0,0.4888888888888889,0.21775935375234445,0.9234821856015266,15.781889620217726,epsilon_greedy_0.1
46,9,16,0.0,0.4782608695652174,0.39162643074762477,0.7263281108783325,16.116591300348432,epsilon_greedy_0.1
47,7,16,1.0,0.48936170212765956,0.6840342071852074,0.8705472856870347,16.30310437885026,epsilon_greedy_0.1
48,32,16,0.0,0.4791666666666667,0.43260883429117053,0.6797740107036677,16.55026955526276,epsilon_greedy_0.1
49,18,1,1.0,0.4897959183673469,0.4292999722602886,0.7654512754948356,16.886420858497306,epsilon_greedy_0.1
50,151,18,1.0,0.5,0.8309263252264085,0.9221702549949227,16.97766478826582,epsilon_greedy_0.1
51,32,1,1.0,0.5098039215686274,0.5034394435550983,0.6847979796492142,17.159023324359936,epsilon_greedy_0.1
52,65,1,1.0,0.5192307692307693,0.5474277557093744,0.820788877833284,17.432384446483844,epsilon_greedy_0.1
53,42,1,1.0,0.5283018867924528,0.6273575496253558,0.8830934894354567,17.688120386293946,epsilon_greedy_0.1
54,191,1,0.0,0.5185185185185185,0.1688551509664851,0.7287081101991044,18.247973345526564,epsilon_greedy_0.1
55,49,18,0.0,0.509090909090909,0.35713811388467653,0.7081392677301859,18.598974499372073,epsilon_greedy_0.1
56,37,1,0.0,0.5,0.1887670539294773,0.7811443792977543,19.191351824740348,epsilon_greedy_0.1
57,140,1,1.0,0.5087719298245614,0.16882707580621872,0.7695636714683715,19.7920884204025,epsilon_greedy_0.1
58,98,1,1.0,0.5172413793103449,0.43902052847250717,0.792516965652925,20.145584857582918,epsilon_greedy_0.1
59,4,1,1.0,0.5254237288135594,0.7254299042120983,0.7878182248436137,20.207973178214434,epsilon_greedy_0.1
60,58,1,0.0,0.5166666666666667,0.3356148142750925,0.8639525666433786,20.73631093058272,epsilon_greedy_0.1
61,7,1,1.0,0.5245901639344263,0.3275594091589066,0.8827402513927552,21.29149177281657,epsilon_greedy_0.1
62,18,1,1.0,0.532258064516129,0.4501693540750532,0.7409523280910947,21.582274746832613,epsilon_greedy_0.1
63,80,1,1.0,0.5396825396825397,0.35084294230047514,0.7525223405373391,21.98395414506948,epsilon_greedy_0.1
64,166,1,1.0,0.546875,0.5432620167314476,0.7940863826897265,22.23477851102776,epsilon_greedy_0.1
65,138,1,0.0,0.5384615384615384,0.24351257627168663,0.8345753389905866,22.825841273746658,epsilon_greedy_0.1
66,1,1,0.0,0.5303030303030303,0.3998289572791887,0.7590971386558584,23.185109455123328,epsilon_greedy_0.1
67,132,1,1.0,0.5373134328358209,0.7145301247625779,0.7586015613857884,23.229180891746537,epsilon_greedy_0.1
68,67,1,1.0,0.5441176470588235,0.271712282863289,0.9321018201202749,23.889570429003523,epsilon_greedy_0.1
69,170,1,1.0,0.5507246376811594,0.6151628674777255,0.9010102891110648,24.17541785063686,epsilon_greedy_0.1
70,97,1,1.0,0.5571428571428572,0.44318269525084114,0.7726542858000442,24.504889441186066,epsilon_greedy_0.1
71,96,1,0.0,0.5492957746478874,0.4623036428968908,0.849545265510323,24.892131063799496,epsilon_greedy_0.1
72,170,1,1.0,0.5555555555555556,0.588119944542875,0.9011323431552936,25.205143462411915,epsilon_greedy_0.1
73,47,1,0.0,0.547945205479452,0.869663717082407,0.9101190288819069,25.245598774211416,epsilon_greedy_0.1
74,63,1,1.0,0.5540540540540541,0.910144021707003,0.9011591907358104,25.236613943240222,epsilon_greedy_0.1
75,154,1,1.0,0.56,0.712093204117358,0.7417336291691347,25.266254368292,epsilon_greedy_0.1
76,182,14,1.0,0.5657894736842105,0.3033627139885399,0.8613154901335633,25.824207144437022,epsilon_greedy_0.1
77,7,14,1.0,0.5714285714285714,0.5996135512120346,0.8833372510072199,26.107930844232207,epsilon_greedy_0.1
78,106,14,1.0,0.5769230769230769,0.4288351242401336,0.7027796892386335,26.38187540923071,epsilon_greedy_0.1
79,122,14,0.0,0.569620253164557,0.7262624520866682,0.8354358177318661,26.491048774875907,epsilon_greedy_0.1
80,3,14,0.0,0.5625,0.5700545011739805,0.6848283132756211,26.605822586977546,epsilon_greedy_0.1
81,64,1,1.0,0.5679012345679012,0.5544850149573577,0.8323285656958561,26.883666137716045,epsilon_greedy_0.1
82,172,1,0.0,0.5609756097560976,0.3302596805172043,0.8860317568990638,27.439438214097905,epsilon_greedy_0.1
83,169,3,0.0,0.5542168674698795,0.2746203395465104,0.6548434626381849,27.81966133718958,epsilon_greedy_0.1
84,106,1,0.0,0.5476190476190477,0.3736689519896439,0.7351668737515924,28.181159258951528,epsilon_greedy_0.1
85,81,1,1.0,0.5529411764705883,0.5698033377899757,0.8832087124946868,28.49456463365624,epsilon_greedy_0.1
86,10,19,1.0,0.5581395348837209,0.458598208757754,0.7455067338231056,28.781473158721592,epsilon_greedy_0.1
87,117,19,1.0,0.5632183908045977,0.7867387031572273,0.7940751598998391,28.788809615464203,epsilon_greedy_0.1
88,175,16,0.0,0.5568181818181818,0.467853879172867,0.7922686387038667,29.1132243749952,epsilon_greedy_0.1
89,192,19,1.0,0.5617977528089888,0.6094360386855986,0.8650016649305384,29.368790001240143,epsilon_greedy_0.1
90,28,19,1.0,0.5666666666666667,0.6788344532211477,0.862008845324793,29.551964393343788,epsilon_greedy_0.1
91,185,19,0.0,0.5604395604395604,0.3687842323919681,0.7895917597932324,29.972771920745053,epsilon_greedy_0.1
92,56,19,0.0,0.5543478260869565,0.8786946826172164,0.8901584428153378,29.984235680943176,epsilon_greedy_0.1
93,100,1,1.0,0.5591397849462365,0.5163778655539697,0.8875935774716793,30.355451392860886,epsilon_greedy_0.1
94,42,1,0.0,0.5531914893617021,0.5894043970243102,0.9041895184068858,30.67023651424346,epsilon_greedy_0.1
95,82,1,1.0,0.5578947368421052,0.7500715528881333,0.7734016067487771,30.693566568104103,epsilon_greedy_0.1
96,197,1,1.0,0.5625,0.11174906605976627,0.8848106651493094,31.466628167193647,epsilon_greedy_0.1
97,113,1,0.0,0.5567010309278351,0.571735906266362,0.897188010447039,31.792080271374324,epsilon_greedy_0.1
98,45,1,1.0,0.5612244897959183,0.6227561399982836,0.8503909010404157,32.01971503241646,epsilon_greedy_0.1
99,172,1,1.0,0.5656565656565656,0.372858244591585,0.8739850633732584,32.52084185119813,epsilon_greedy_0.1
100,50,1,1.0,0.57,0.7112661254497566,0.6927970881586148,32.50237281390699,epsilon_greedy_0.1
101,7,1,0.0,0.5643564356435643,0.3370486200264669,0.8694396202336685,33.034763814114186,epsilon_greedy_0.1
102,42,1,0.0,0.5588235294117647,0.6407668793403688,0.9044064028329998,33.298403337606814,epsilon_greedy_0.1
103,9,5,1.0,0.5631067961165048,0.6690141136815381,0.6798182531244581,33.30920747704973,epsilon_greedy_0.1
104,113,1,1.0,0.5673076923076923,0.547013531172256,0.8974788980255117,33.65967284390299,epsilon_greedy_0.1
105,166,1,1.0,0.5714285714285714,0.5390207188509427,0.8238890002524049,33.944541125304454,epsilon_greedy_0.1
106,22,1,0.0,0.5660377358490566,0.5701023947887109,0.8162920808577787,34.19073081137352,epsilon_greedy_0.1
107,176,1,0.0,0.5607476635514018,0.13822547656403744,0.9387755589420733,34.99128089375156,epsilon_greedy_0.1
108,4,19,1.0,0.5648148148148148,0.558580392832888,0.7457538007534298,35.1784543016721,epsilon_greedy_0.1
109,132,19,1.0,0.5688073394495413,0.7695223172702591,0.7457633182096128,35.15469530261145,epsilon_greedy_0.1
110,82,19,0.0,0.5636363636363636,0.4453720949458615,0.7670674507960862,35.476390658461675,epsilon_greedy_0.1
111,154,15,0.0,0.5585585585585585,0.1911662774048154,0.7702188753555695,36.05544325641243,epsilon_greedy_0.1
112,113,19,0.0,0.5535714285714286,0.2368464458491479,0.8936957829526687,36.712292593515954,epsilon_greedy_0.1
113,159,1,0.0,0.5486725663716814,0.40248056327608717,0.816931130109878,37.12674316034975,epsilon_greedy_0.1
114,23,1,1.0,0.5526315789473685,0.2035509885871106,0.9437425119891291,37.866934683751765,epsilon_greedy_0.1
115,21,1,0.0,0.5478260869565217,0.6041420287186916,0.8216107841419182,38.08440343917499,epsilon_greedy_0.1
116,98,1,1.0,0.5517241379310345,0.4589210706845803,0.7538510458965146,38.37933341438693,epsilon_greedy_0.1
117,111,1,1.0,0.5555555555555556,0.8558155599888999,0.9198304186859154,38.44334827308394,epsilon_greedy_0.1
118,63,1,1.0,0.559322033898305,0.9238921079648228,0.9096530066700405,38.42910917178916,epsilon_greedy_0.1
119,182,1,1.0,0.5630252100840336,0.6499146740823277,0.8738395004517426,38.65303399815857,epsilon_greedy_0.1
120,77,9,1.0,0.5666666666666667,0.2565705090202416,0.7947353356278228,39.191198824766154,epsilon_greedy_0.1
121,54,9,1.0,0.5702479338842975,0.4077707901078081,0.8618222719719556,39.6452503066303,epsilon_greedy_0.1
122,77,9,0.0,0.5655737704918032,0.24980165525572862,0.7716302391553452,40.16707889052992,epsilon_greedy_0.1
123,180,9,0.0,0.5609756097560976,0.12069233989469513,0.8773350788033037,40.92372162943853,epsilon_greedy_0.1
124,11,14,1.0,0.5645161290322581,0.6040608971132997,0.8177016263560609,41.137362358681294,epsilon_greedy_0.1
125,66,14,0.0,0.56,0.3096018667187377,0.8961084561498764,41.72386894811243,epsilon_greedy_0.1
126,104,1,0.0,0.5555555555555556,0.25637973732958785,0.8963840757055195,42.363873286488364,epsilon_greedy_0.1
127,48,1,1.0,0.5590551181102362,0.8960381085638259,0.8872074432092231,42.35504262113376,epsilon_greedy_0.1
128,50,1,1.0,0.5625,0.6553831755567876,0.720841060778288,42.42050050635526,epsilon_greedy_0.1
129,151,1,1.0,0.5658914728682171,0.7048459655621356,0.9281435829673848,42.64379812376051,epsilon_greedy_0.1
130,49,1,0.0,0.5615384615384615,0.3638723454505543,0.709897156657171,42.98982293496713,epsilon_greedy_0.1
131,103,1,0.0,0.5572519083969466,0.6704323728687324,0.9332988027092225,43.25268936480762,epsilon_greedy_0.1
132,129,1,0.0,0.553030303030303,0.36012473183791993,0.6723572847465458,43.56492191771625,epsilon_greedy_0.1
133,185,1,0.0,0.5488721804511278,0.1442551344363733,0.7897833697127763,44.21045015299265,epsilon_greedy_0.1
134,82,1,1.0,0.5522388059701493,0.7381805859669682,0.7676710540587586,44.23994062108444,epsilon_greedy_0.1
135,104,1,0.0,0.5481481481481482,0.3133048348923035,0.8872519534253448,44.813887739617485,epsilon_greedy_0.1
136,172,1,1.0,0.5514705882352942,0.34816897121983675,0.8993627718196706,45.36508154021732,epsilon_greedy_0.1
137,174,1,0.0,0.5474452554744526,0.11719244684457208,0.9214134932477867,46.16930258662053,epsilon_greedy_0.1
138,31,1,1.0,0.5507246376811594,0.4979452745578743,0.9627427742136442,46.6341000862763,epsilon_greedy_0.1
139,131,1,0.0,0.5467625899280576,0.8127721237086454,0.8841693058234605,46.70549726839111,epsilon_greedy_0.1
140,198,15,0.0,0.5428571428571428,0.8889243224731641,0.9282397286685016,46.74481267458645,epsilon_greedy_0.1
141,108,1,0.0,0.5390070921985816,0.2530038416413248,0.8638447272703506,47.35565356021547,epsilon_greedy_0.1
142,169,17,0.0,0.5352112676056338,0.43288188850242376,0.7011453584191495,47.6239170301322,epsilon_greedy_0.1
143,133,1,0.0,0.5314685314685315,0.34628753561683456,0.8476281227104245,48.125257617225785,epsilon_greedy_0.1
144,94,19,1.0,0.5347222222222222,0.6298736473494518,0.8712507643068268,48.36663473418316,epsilon_greedy_0.1
145,124,19,1.0,0.5379310344827586,0.4389386219802818,0.7444441168349814,48.67214022903786,epsilon_greedy_0.1
146,64,19,1.0,0.541095890410959,0.47035650558432124,0.8445493836544279,49.04633310710796,epsilon_greedy_0.1
147,110,19,0.0,0.5374149659863946,0.18627042871801494,0.8158761537733947,49.67593883216334,epsilon_greedy_0.1
148,137,19,1.0,0.5405405405405406,0.7070810412867599,0.8035701041786545,49.77242789505524,epsilon_greedy_0.1
149,31,19,0.0,0.5369127516778524,0.4838569574918733,0.9602537695577373,50.2488247071211,epsilon_greedy_0.1
150,75,19,0.0,0.5333333333333333,0.576907804812218,0.7732547342909688,50.44517163659985,epsilon_greedy_0.1
151,125,1,1.0,0.5364238410596026,0.34344069924120973,0.7376111209291656,50.839342058287805,epsilon_greedy_0.1
152,161,1,1.0,0.5394736842105263,0.36627908757783684,0.8956328616447642,51.36869583235473,epsilon_greedy_0.1
153,21,1,0.0,0.5359477124183006,0.6418390717661908,0.8238341515512497,51.55069091213979,epsilon_greedy_0.1
154,140,1,0.0,0.5324675324675324,0.17746965877621274,0.752255919043815,52.12547717240739,epsilon_greedy_0.1
155,132,19,0.0,0.5290322580645161,0.7314961749887589,0.7882956289195125,52.182276626338144,epsilon_greedy_0.1
156,188,1,1.0,0.532051282051282,0.3852380088107614,0.8213091337221233,52.61834775124951,epsilon_greedy_0.1
157,139,1,1.0,0.535031847133758,0.36006246286449173,0.7525158448867069,53.01080113327173,epsilon_greedy_0.1
158,193,7,1.0,0.5379746835443038,0.4315152735884884,0.8649400910975049,53.44422595078074,epsilon_greedy_0.1
159,113,7,0.0,0.5345911949685535,0.37375975649546034,0.8985409802752673,53.969007174560545,epsilon_greedy_0.1
160,79,1,1.0,0.5375,0.6827713130434324,0.7980226318300583,54.08425849334717,epsilon_greedy_0.1
161,190,1,1.0,0.5403726708074534,0.6270142411807802,0.8617692618854144,54.319013514051804,epsilon_greedy_0.1
162,169,1,1.0,0.5432098765432098,0.6473002078012936,0.6538989142335604,54.32561222048407,epsilon_greedy_0.1
163,134,1,1.0,0.5460122699386503,0.8739360596941051,0.9326283191084049,54.38430447989837,epsilon_greedy_0.1
164,22,1,1.0,0.5487804878048781,0.5178504811372351,0.828213745790392,54.69466774455152,epsilon_greedy_0.1
165,143,1,1.0,0.5515151515151515,0.6233643810449098,0.7470073836309986,54.81831074713761,epsilon_greedy_0.1
166,136,1,0.0,0.5481927710843374,0.6960304608731415,0.7427587627466419,54.86503904901111,epsilon_greedy_0.1
167,179,1,0.0,0.5449101796407185,0.8752433359002956,0.9651892754435547,54.954984988554365,epsilon_greedy_0.1
168,156,1,1.0,0.5476190476190477,0.7096898738352988,0.8465174188127118,55.09181253353178,epsilon_greedy_0.1
169,192,1,0.0,0.5443786982248521,0.45088411935664485,0.8964960302762506,55.53742444445138,epsilon_greedy_0.1
170,158,1,0.0,0.5411764705882353,0.3417144360484513,0.6828938306265672,55.878603839029495,epsilon_greedy_0.1
171,192,1,1.0,0.543859649122807,0.43451464862637074,0.8783381338500652,56.32242732425319,epsilon_greedy_0.1
172,2,1,0.0,0.5406976744186046,0.4420612395795013,0.7132537828170542,56.593619867490744,epsilon_greedy_0.1
173,10,1,1.0,0.5433526011560693,0.6313362585400094,0.7704471108856314,56.73273071983637,epsilon_greedy_0.1
174,184,1,1.0,0.5459770114942529,0.8518171356348192,0.9736496462883155,56.854563230489866,epsilon_greedy_0.1
175,53,1,1.0,0.5485714285714286,0.738059668046935,0.8863187056823977,57.00282226812533,epsilon_greedy_0.1
176,91,15,1.0,0.5511363636363636,0.5398442165004369,0.7452012558389934,57.20817930746389,epsilon_greedy_0.1
177,15,1,0.0,0.5480225988700564,0.16874673670363063,0.7997246106223134,57.83915718138257,epsilon_greedy_0.1
178,136,1,1.0,0.550561797752809,0.7109714434818027,0.7789172247111827,57.90710296261195,epsilon_greedy_0.1
179,186,1,0.0,0.547486033519553,0.3422082616205254,0.8332794266799027,58.398174127671325,epsilon_greedy_0.1
180,76,1,1.0,0.55,0.4345101176602847,0.9031685583035574,58.8668325683146,epsilon_greedy_0.1
181,101,1,0.0,0.5469613259668509,0.640540584670071,0.677951413781395,58.90424339742592,epsilon_greedy_0.1
182,51,1,0.0,0.5439560439560439,0.796063001166047,0.8611078203119972,58.969288216571876,epsilon_greedy_0.1
183,40,1,0.0,0.5409836065573771,0.72985048547442,0.9214777223376165,59.160915453435074,epsilon_greedy_0.1
184,117,1,1.0,0.5434782608695652,0.6494402503805806,0.7776007788604415,59.289075981914934,epsilon_greedy_0.1
185,86,1,1.0,0.5459459459459459,0.5843977066755094,0.8112785521673986,59.515956827406825,epsilon_greedy_0.1
186,111,1,1.0,0.5483870967741935,0.8345647994753795,0.9233771917739978,59.604769219705446,epsilon_greedy_0.1
187,115,1,1.0,0.5508021390374331,0.7294375316525147,0.8038956136888252,59.679227301741754,epsilon_greedy_0.1
188,95,1,0.0,0.5478723404255319,0.2652134432739384,0.8058235974882697,60.21983745595609,epsilon_greedy_0.1
189,53,1,0.0,0.544973544973545,0.7872247119767567,0.8848677498311835,60.317480493810514,epsilon_greedy_0.1
190,89,1,1.0,0.5473684210526316,0.5922832366400224,0.8283088613482886,60.55350611851878,epsilon_greedy_0.1
191,64,1,0.0,0.5445026178010471,0.5694585773852696,0.8241885805434401,60.808236121676956,epsilon_greedy_0.1
192,17,1,1.0,0.546875,0.7225355324070436,0.8725154654572846,60.958216054727195,epsilon_greedy_0.1
193,136,1,0.0,0.5440414507772021,0.6984973763272807,0.76594802548019,61.025666703880106,epsilon_greedy_0.1
194,194,14,1.0,0.5463917525773195,0.6994345846730816,0.7925827352243444,61.11881485443137,epsilon_greedy_0.1
195,88,14,0.0,0.5435897435897435,0.5904886677625765,0.7933093327608878,61.321635519429684,epsilon_greedy_0.1
196,17,1,0.0,0.5408163265306123,0.7309736641684433,0.8894293756824231,61.480091230943664,epsilon_greedy_0.1
197,198,1,0.0,0.5380710659898477,0.475883010825604,0.9253831869203941,61.92959140703845,epsilon_greedy_0.1
198,38,1,0.0,0.5353535353535354,0.3825217593561757,0.7964441746397855,62.34351382232206,epsilon_greedy_0.1
199,63,10,1.0,0.5376884422110553,0.9095742011974032,0.9057697113113234,62.33970933243598,epsilon_greedy_0.1
200,67,10,1.0,0.54,0.5375724149625537,0.9156118377894049,62.71774875526283,epsilon_greedy_0.1
201,155,10,0.0,0.5373134328358209,0.2196787126281979,0.9287003324991995,63.426770375133835,epsilon_greedy_0.1
202,71,10,0.0,0.5346534653465347,0.3442327823546728,0.8979578378561192,63.98049543063528,epsilon_greedy_0.1
203,191,6,1.0,0.5369458128078818,0.7015546467620917,0.6993882754743848,63.97832905934757,epsilon_greedy_0.1
204,199,1,0.0,0.5343137254901961,0.23898526921074636,0.7373856568474269,64.47672944698425,epsilon_greedy_0.1
205,179,0,0.0,0.5317073170731708,0.10285182914588907,0.9683405144606863,65.34221813229905,epsilon_greedy_0.1
206,14,1,1.0,0.5339805825242718,0.41474825865408527,0.7083006241144836,65.63577049775945,epsilon_greedy_0.1
207,121,1,1.0,0.5362318840579711,0.46804993253311694,0.8002013877245366,65.96792195295087,epsilon_greedy_0.1
208,153,1,1.0,0.5384615384615384,0.49444096806944327,0.7808761334227627,66.2543571183042,epsilon_greedy_0.1
209,32,1,1.0,0.5406698564593302,0.4598202711177728,0.699692916016222,66.49422976320265,epsilon_greedy_0.1
210,98,1,1.0,0.5428571428571428,0.3731846725069806,0.7665085492764961,66.88755363997217,epsilon_greedy_0.1
211,89,1,1.0,0.5450236966824644,0.5389799055023432,0.849891757914901,67.19846549238473,epsilon_greedy_0.1
212,41,1,1.0,0.5471698113207547,0.5230011560534203,0.7664530170318887,67.4419173533632,epsilon_greedy_0.1
213,88,1,0.0,0.5446009389671361,0.5327429804322655,0.7886537158964415,67.69782808882736,epsilon_greedy_0.1
214,151,5,0.0,0.5420560747663551,0.12677691853797632,0.9292658596041039,68.5003170298935,epsilon_greedy_0.1
215,51,1,1.0,0.5441860465116279,0.8333696923627908,0.8710136355905911,68.5379609731213,epsilon_greedy_0.1
216,126,19,0.0,0.5416666666666666,0.19710033774176178,0.8603174386258744,69.20117807400541,epsilon_greedy_0.1
217,199,1,0.0,0.5391705069124424,0.22539384190076237,0.7022663374030236,69.67805056950768,epsilon_greedy_0.1
218,114,1,0.0,0.536697247706422,0.1453627576530206,0.8853628901416379,70.4180507019963,epsilon_greedy_0.1
219,36,16,1.0,0.5388127853881278,0.8865299151544422,0.8830924056430561,70.41461319248491,epsilon_greedy_0.1
220,169,1,0.0,0.5363636363636364,0.6944103471725551,0.62320637955474,70.34340922486709,epsilon_greedy_0.1
221,44,9,1.0,0.5384615384615384,0.6093887258781594,0.7052855509907602,70.43930604997969,epsilon_greedy_0.1
