step,user,action,click,ctr,prob_taken,prob_optimal,regret,policy
1,69,7,0.0,0.0,0.19906261225996838,0.8862969334968673,0.687234321236899,thompson_0.1
2,100,5,0.0,0.0,0.2941590956003425,0.865871881954078,1.2589471075906347,thompson_0.1
3,147,5,1.0,0.3333333333333333,0.7090407990810242,0.8008989762453294,1.3508052847549399,thompson_0.1
4,172,5,0.0,0.25,0.3241385774784178,0.8984529187736415,1.9251196260501637,thompson_0.1
5,68,5,1.0,0.4,0.37903812481519455,0.7259427068948202,2.2720242081297894,thompson_0.1
6,100,5,0.0,0.3333333333333333,0.2860225493974111,0.8853102449552918,2.87131190368767,thompson_0.1
7,101,5,0.0,0.2857142857142857,0.5734244975767688,0.6716114395826143,2.9694988456935154,thompson_0.1
8,13,5,1.0,0.375,0.6721189894651945,0.7598448599037314,3.057224716132052,thompson_0.1
9,18,5,0.0,0.3333333333333333,0.5077596395563289,0.755384367360481,3.304849443936204,thompson_0.1
10,8,5,1.0,0.4,0.3207640482560785,0.8755128926703275,3.859598288350453,thompson_0.1
11,185,5,1.0,0.45454545454545453,0.2879399873989719,0.7840548016612241,4.355713102612705,thompson_0.1
12,175,5,1.0,0.5,0.4739713457495883,0.7694785217722037,4.65122027863532,thompson_0.1
13,55,5,0.0,0.46153846153846156,0.5288006183359939,0.689821180755014,4.81224084105434,thompson_0.1
14,102,5,1.0,0.5,0.3838284166428264,0.868658154187386,5.2970705785989,thompson_0.1
15,154,5,0.0,0.4666666666666667,0.6332843063872364,0.7679392762600233,5.431725548471687,thompson_0.1
16,156,5,1.0,0.5,0.37695095723065664,0.8268764992027499,5.88165109044378,thompson_0.1
17,78,5,1.0,0.5294117647058824,0.8006214978390253,0.9469701389285434,6.027999731533298,thompson_0.1
18,143,5,1.0,0.5555555555555556,0.4110427259539197,0.7876673427804456,6.404624348359824,thompson_0.1
19,106,5,1.0,0.5789473684210527,0.5298320933516241,0.7098217752687556,6.584614030276955,thompson_0.1
20,153,5,0.0,0.55,0.3196235114787072,0.7477629934043626,7.012753512202611,thompson_0.1
21,193,5,1.0,0.5714285714285714,0.5142726762250452,0.8786725353290447,7.37715337130661,thompson_0.1
22,84,5,0.0,0.5454545454545454,0.21224059798177028,0.8753901653467503,8.04030293867159,thompson_0.1
23,154,5,1.0,0.5652173913043478,0.6734870853250735,0.7334448938539999,8.100260747200517,thompson_0.1
24,39,5,0.0,0.5416666666666666,0.14689966502803986,0.8570506119250139,8.81041169409749,thompson_0.1
25,162,5,1.0,0.56,0.7717432389023865,0.846671463639223,8.885339918834328,thompson_0.1
26,100,5,1.0,0.5769230769230769,0.25528781662898065,0.8542765396846883,9.484328641890036,thompson_0.1
27,88,5,1.0,0.5925925925925926,0.6322058750363745,0.7800986464008932,9.632221413254555,thompson_0.1
28,8,5,0.0,0.5714285714285714,0.35198642403774877,0.8452545659811131,10.12548955519792,thompson_0.1
29,14,5,0.0,0.5517241379310345,0.3782225468054329,0.6920768398989239,10.439343848291411,thompson_0.1
30,21,5,1.0,0.5666666666666667,0.6944892869571936,0.8242335981906708,10.569088159524888,thompson_0.1
31,190,5,0.0,0.5483870967741935,0.6217973768683479,0.882786406406738,10.830077189063278,thompson_0.1
32,136,5,1.0,0.5625,0.5544673883850841,0.754319083514756,11.02992888419295,thompson_0.1
33,186,5,0.0,0.5454545454545454,0.5504383849958214,0.8197770777871278,11.299267576984256,thompson_0.1
34,165,5,1.0,0.5588235294117647,0.3366818925076776,0.8715753609723723,11.834161045448951,thompson_0.1
35,71,5,1.0,0.5714285714285714,0.5578097739155521,0.8968867299563222,12.173238001489722,thompson_0.1
36,64,5,1.0,0.5833333333333334,0.4065019505791646,0.8348966424828784,12.601632693393436,thompson_0.1
37,5,5,0.0,0.5675675675675675,0.5580623493114526,0.6107362792905722,12.654306623372555,thompson_0.1
38,192,5,1.0,0.5789473684210527,0.626333240137857,0.8883215682518506,12.916294951486549,thompson_0.1
39,59,5,0.0,0.5641025641025641,0.492219409021029,0.9061443547740969,13.330219897239617,thompson_0.1
40,86,5,1.0,0.575,0.33686683052197536,0.8182210563922205,13.811574123109862,thompson_0.1
41,105,5,0.0,0.5609756097560976,0.13784544582387653,0.9271842543861611,14.600912931672147,thompson_0.1
42,107,5,1.0,0.5714285714285714,0.8558725995137066,0.8594788719108365,14.604519204069277,thompson_0.1
43,196,5,0.0,0.5581395348837209,0.24515571288119312,0.8703129020740568,15.22967639326214,thompson_0.1
44,199,5,1.0,0.5681818181818182,0.3328608481376014,0.7308885797520399,15.62770412487658,thompson_0.1
45,72,5,1.0,0.5777777777777777,0.642346759729677,0.9096965182000982,15.895053883347002,thompson_0.1
46,153,5,0.0,0.5652173913043478,0.3202735918083176,0.7254237794801075,16.30020407101879,thompson_0.1
47,153,5,0.0,0.5531914893617021,0.33171020132135,0.7449953179872341,16.713489187684672,thompson_0.1
48,188,5,1.0,0.5625,0.7341629532883662,0.8157905470348091,16.795116781431116,thompson_0.1
49,179,5,1.0,0.5714285714285714,0.6007319526648888,0.9618050495414506,17.15618987830768,thompson_0.1
50,165,5,0.0,0.56,0.31346515806762354,0.8390501415796462,17.6817748618197,thompson_0.1
51,72,5,1.0,0.5686274509803921,0.6295188806544556,0.8914103714165758,17.943666352581822,thompson_0.1
52,51,5,1.0,0.5769230769230769,0.8237877767608067,0.871063040777013,17.99094161659803,thompson_0.1
53,30,5,1.0,0.5849056603773585,0.7352383438083419,0.8952144175154696,18.150917690305157,thompson_0.1
54,38,5,0.0,0.5740740740740741,0.5319506403805483,0.7988420114041097,18.417809061328718,thompson_0.1
55,123,5,0.0,0.5636363636363636,0.8046012355318789,0.8193804034316342,18.43258822922847,thompson_0.1
56,22,5,0.0,0.5535714285714286,0.35324126983620924,0.8550149276575092,18.93436188704977,thompson_0.1
57,185,5,1.0,0.5614035087719298,0.29580921980417296,0.8042505967145167,19.442803263960116,thompson_0.1
58,180,5,0.0,0.5517241379310345,0.8840274769370706,0.8978030117531406,19.456578798776185,thompson_0.1
59,75,5,1.0,0.559322033898305,0.32294225944434346,0.7943394943830892,19.92797603371493,thompson_0.1
60,137,5,0.0,0.55,0.19722447035744206,0.7823282592584513,20.51307982261594,thompson_0.1
61,74,5,0.0,0.5409836065573771,0.41025721890647543,0.9309700266994559,21.033792630408918,thompson_0.1
62,81,5,0.0,0.532258064516129,0.10828548107084074,0.8905025223087109,21.81600967164679,thompson_0.1
63,96,5,0.0,0.5238095238095238,0.4426122056931081,0.8632774186255572,22.236674884579237,thompson_0.1
64,0,5,1.0,0.53125,0.5086031275494624,0.8200613135978219,22.548133070627596,thompson_0.1
65,176,5,1.0,0.5384615384615384,0.7479122855555612,0.9397396137372712,22.739960398809306,thompson_0.1
66,91,5,1.0,0.5454545454545454,0.48411519916394746,0.7492957491883631,23.00514094883372,thompson_0.1
67,101,5,1.0,0.5522388059701493,0.5493670653984871,0.7157776888451773,23.17155157228041,thompson_0.1
68,63,5,1.0,0.5588235294117647,0.43447760709273625,0.9043929330069034,23.64146689819458,thompson_0.1
69,193,5,1.0,0.5652173913043478,0.5137769192539648,0.8746081546719614,24.002298133612577,thompson_0.1
70,161,5,1.0,0.5714285714285714,0.34802689672619785,0.8988073476289667,24.553078584515347,thompson_0.1
71,123,5,0.0,0.5633802816901409,0.8315714203947591,0.8253834926408075,24.546890656761395,thompson_0.1
72,70,5,0.0,0.5555555555555556,0.345635095858229,0.7889783784052379,24.990233939308403,thompson_0.1
73,17,5,0.0,0.547945205479452,0.2883871256597717,0.8591897730187118,25.561036586667342,thompson_0.1
74,59,5,0.0,0.5405405405405406,0.5126018061840072,0.9038527390945449,25.95228751957788,thompson_0.1
75,114,5,0.0,0.5333333333333333,0.1295821506536744,0.88682167600514,26.709527044929345,thompson_0.1
76,186,5,1.0,0.5394736842105263,0.5459004662142127,0.8165172326120805,26.980143811327213,thompson_0.1
77,136,5,0.0,0.5324675324675324,0.555239388421822,0.7567804501849613,27.181684873090354,thompson_0.1
78,153,5,0.0,0.5256410256410257,0.3315645876080703,0.747096260240716,27.597216545723,thompson_0.1
79,26,5,0.0,0.5189873417721519,0.4394633923263992,0.8328948756542405,27.990648029050842,thompson_0.1
80,80,5,0.0,0.5125,0.25874275267167846,0.7544269225047348,28.486332198883897,thompson_0.1
81,84,5,0.0,0.5061728395061729,0.21479592924219568,0.8926679243198655,29.164204193961567,thompson_0.1
82,35,5,0.0,0.5,0.38260319862980924,0.7514050253458279,29.533006020677586,thompson_0.1
83,15,5,1.0,0.5060240963855421,0.4449028713666337,0.8159413052314531,29.904044454542404,thompson_0.1
84,108,5,0.0,0.5,0.7673474739695394,0.8588328639426476,29.995529844515513,thompson_0.1
85,196,5,0.0,0.49411764705882355,0.25899564173534606,0.8686342009743871,30.605168403754554,thompson_0.1
86,177,5,0.0,0.4883720930232558,0.2811113183208824,0.8599576806318228,31.184014766065495,thompson_0.1
87,57,5,0.0,0.4827586206896552,0.16511205709665963,0.9416522450424212,31.960554954011258,thompson_0.1
88,124,5,1.0,0.48863636363636365,0.41092913002880294,0.7835501590216306,32.33317598300408,thompson_0.1
89,41,5,0.0,0.48314606741573035,0.3435809729210128,0.7290063528926334,32.718601362975704,thompson_0.1
90,86,5,0.0,0.4777777777777778,0.3360174967665191,0.8154879130360875,33.198071779245275,thompson_0.1
91,182,5,0.0,0.4725274725274725,0.08643574645178496,0.868156809198876,33.979792841992364,thompson_0.1
92,127,5,0.0,0.4673913043478261,0.6107800652608242,0.6588731688260427,34.027885945557586,thompson_0.1
93,92,5,1.0,0.4731182795698925,0.37678239993162677,0.9672760572354556,34.61837960286142,thompson_0.1
94,138,5,1.0,0.4787234042553192,0.6563726089736055,0.8308350139823819,34.79284200787019,thompson_0.1
95,167,5,0.0,0.47368421052631576,0.12323951920468343,0.8859891460569171,35.555591634722425,thompson_0.1
96,187,5,0.0,0.46875,0.29362484800760486,0.7815225862240686,36.043489372938886,thompson_0.1
97,173,5,0.0,0.4639175257731959,0.5025896794102284,0.9089166627777309,36.449816356306386,thompson_0.1
98,113,5,1.0,0.46938775510204084,0.6308267503452403,0.8823736240234497,36.701363229984594,thompson_0.1
99,131,5,0.0,0.46464646464646464,0.8595426083755974,0.8699233523622544,36.71174397397125,thompson_0.1
100,103,5,0.0,0.46,0.6812075869670744,0.9336150556326531,36.96415144263683,thompson_0.1
101,128,5,1.0,0.46534653465346537,0.9092843384304319,0.9293620851141275,36.98422918932053,thompson_0.1
102,62,5,1.0,0.47058823529411764,0.7142034166458123,0.9213965647885397,37.19142233746326,thompson_0.1
103,161,5,0.0,0.46601941747572817,0.34099695684382897,0.9012233246457497,37.75164870526518,thompson_0.1
104,183,5,0.0,0.46153846153846156,0.7565224654508491,0.8947069803070014,37.88983322012133,thompson_0.1
105,118,5,0.0,0.45714285714285713,0.2556885614783184,0.9720784974700744,38.60622315611309,thompson_0.1
106,194,5,1.0,0.46226415094339623,0.8010964581822403,0.8082661040203047,38.61339280195115,thompson_0.1
107,167,5,0.0,0.45794392523364486,0.13250882075324708,0.8748309296570502,39.35571491085496,thompson_0.1
108,25,5,1.0,0.46296296296296297,0.6628273634464981,0.8785179408421853,39.57140548825065,thompson_0.1
109,164,5,1.0,0.46788990825688076,0.6994012069197809,0.8369517793319324,39.7089560606628,thompson_0.1
110,111,5,1.0,0.4727272727272727,0.8575262426616744,0.9127687816744652,39.76419859967559,thompson_0.1
111,199,5,0.0,0.46846846846846846,0.33968565775438897,0.7445584761445563,40.169071418065755,thompson_0.1
112,63,5,0.0,0.4642857142857143,0.43066022399533455,0.9075289109444019,40.64594010501482,thompson_0.1
113,80,5,0.0,0.46017699115044247,0.24571840266562667,0.7414971596971779,41.141718862046375,thompson_0.1
114,25,5,1.0,0.4649122807017544,0.679491822571542,0.8822002060572574,41.34442724553209,thompson_0.1
115,85,5,1.0,0.46956521739130436,0.3599739446392013,0.7974476381425064,41.781900939035395,thompson_0.1
116,61,5,0.0,0.46551724137931033,0.565333091159831,0.7018816898441947,41.91844953771976,thompson_0.1
117,23,5,1.0,0.4700854700854701,0.5373397520777443,0.9354693217482464,42.31657910739026,thompson_0.1
118,64,5,1.0,0.4745762711864407,0.40523703590543814,0.8529457883759912,42.764287859860815,thompson_0.1
119,42,5,1.0,0.4789915966386555,0.6667548766512824,0.9141961004989899,43.01172908370852,thompson_0.1
120,191,5,1.0,0.48333333333333334,0.45713197559603325,0.723938426381254,43.27853553449374,thompson_0.1
121,35,5,0.0,0.4793388429752066,0.3553439201500379,0.7012724958182421,43.624464110161945,thompson_0.1
122,181,5,1.0,0.48360655737704916,0.5612731937844514,0.6667425912182662,43.72993350759576,thompson_0.1
123,73,5,1.0,0.4878048780487805,0.6496395230907286,0.8723636279664913,43.952657612471526,thompson_0.1
124,117,5,1.0,0.49193548387096775,0.6076391500310754,0.7946341033502445,44.1396525657907,thompson_0.1
125,94,5,0.0,0.488,0.5643294858010345,0.8780497900127674,44.45337287000243,thompson_0.1
126,115,5,0.0,0.48412698412698413,0.5421535627400846,0.8024594658392992,44.71367877310165,thompson_0.1
127,123,5,1.0,0.4881889763779528,0.8180376312973993,0.8342321365997715,44.72987327840402,thompson_0.1
128,159,5,0.0,0.484375,0.6854183136013573,0.815302585784278,44.85975755058694,thompson_0.1
129,76,5,1.0,0.4883720930232558,0.8528207406492663,0.8774253332830526,44.88436214322073,thompson_0.1
130,173,5,1.0,0.49230769230769234,0.5253444854678104,0.889801227753876,45.24881888550679,thompson_0.1
131,63,5,1.0,0.4961832061068702,0.42671706946131555,0.9237238195805589,45.74582563562603,thompson_0.1
132,128,5,1.0,0.5,0.9165011357871934,0.9350941861606503,45.76441868599949,thompson_0.1
133,136,5,1.0,0.5037593984962406,0.5566195077533267,0.7498977574190512,45.95769693566521,thompson_0.1
134,57,5,0.0,0.5,0.15359181276998748,0.9491241176182202,46.75322924051344,thompson_0.1
135,199,5,0.0,0.4962962962962963,0.30505685110134956,0.7421061284986489,47.19027851791074,thompson_0.1
136,47,5,0.0,0.49264705882352944,0.14574063809934604,0.9078669020719183,47.95240478188332,thompson_0.1
137,85,5,1.0,0.49635036496350365,0.35889973753607357,0.7474294337650355,48.34093447811228,thompson_0.1
138,185,5,0.0,0.4927536231884058,0.27078619430253964,0.8173096392834385,48.88745792309318,thompson_0.1
139,14,5,0.0,0.4892086330935252,0.4055420424968193,0.6990780958667554,49.180993976463114,thompson_0.1
140,27,5,1.0,0.4928571428571429,0.3769566651287893,0.8217425627617427,49.62577987409607,thompson_0.1
141,67,5,1.0,0.49645390070921985,0.9220656707922751,0.929393624929279,49.63310782823307,thompson_0.1
142,19,5,0.0,0.49295774647887325,0.6617846186633104,0.9080459971111668,49.87936920668093,thompson_0.1
143,93,5,0.0,0.48951048951048953,0.24176433837291542,0.6368355739142613,50.27444044222227,thompson_0.1
144,127,5,1.0,0.4930555555555556,0.5870490848812807,0.5702586448967905,50.25765000223778,thompson_0.1
145,73,5,1.0,0.496551724137931,0.6367871539298608,0.8820335023752822,50.5028963506832,thompson_0.1
146,171,5,1.0,0.5,0.6600631628848607,0.8260398390589477,50.66887302685729,thompson_0.1
147,198,5,0.0,0.4965986394557823,0.8377560233049401,0.933727533366986,50.764844536919334,thompson_0.1
148,151,5,0.0,0.49324324324324326,0.13106344239855847,0.9215221337545308,51.55530322827531,thompson_0.1
149,38,5,0.0,0.4899328859060403,0.5483283079660518,0.8221561541949075,51.82913107450416,thompson_0.1
150,127,5,1.0,0.49333333333333335,0.5548015291118589,0.5718028055086518,51.84613235090095,thompson_0.1
151,62,5,1.0,0.4966887417218543,0.6406863411529637,0.9274904961100204,52.132936505858005,thompson_0.1
152,21,5,1.0,0.5,0.6805858219953795,0.8078737460632907,52.26022442992592,thompson_0.1
153,125,5,0.0,0.49673202614379086,0.5514140838691929,0.6906799490774059,52.399490295134136,thompson_0.1
154,55,5,1.0,0.5,0.5577065796015097,0.6868693683802951,52.52865308391292,thompson_0.1
155,187,5,0.0,0.4967741935483871,0.3452115670299773,0.7954009585182875,52.97884247540123,thompson_0.1
156,42,5,1.0,0.5,0.6858295668979,0.8996254328429395,53.19263834134627,thompson_0.1
